id,category,requirement,description,priority,module,phase,source,status,gap
TB-01,Time Tracking & Budget,Time entry at ticket level,"Fields: duration, date performed, activity type, billable flag, description. Multiple entries per ticket per user.",Must Have,time-and-budget,2 Focused pilot,Workbook,Built,
TB-02,Time Tracking & Budget,Mandatory time entry before resolution,A ticket cannot move to Resolved/Closed with zero logged time unless an exemption reason is selected.,Must Have,time-and-budget,2 Focused pilot,Workbook,Partial,"The time-or-exemption gate ships. Revision 3 makes it composite (resolution code, notes completeness, article prompt, certification-sourced time), and that is not built"
TB-03,Time Tracking & Budget,Activity type taxonomy,"Analysis, Development, Testing, Client Communication, Documentation, Meeting. This is what makes 'where did the hours go' answerable.",Must Have,time-and-budget,2 Focused pilot,Workbook,Built,
TB-04,Time Tracking & Budget,Billable classification,"Billable / Non-billable / Internal / Pre-sales, set per time entry with a default per activity type.",Must Have,time-and-budget,2 Focused pilot,Workbook,Built,
TB-05,Time Tracking & Budget,"Rate cards by client, contract and role",Effective-dated versions so historical entries retain the rate in force at the time performed.,Must Have,time-and-budget,3 Operational replacement,Workbook,Built,
TB-06,Time Tracking & Budget,Contract object with multiple commercial models,"Retainer hours, prepaid blocks, T&M, fixed fee. Includes rollover rules and overage rules.",Must Have,time-and-budget,2 Focused pilot,Workbook,Built,
TB-07,Time Tracking & Budget,Budget burn-down per client per period,"Consumed vs contracted hours and value, by period, with drill-through to source entries.",Must Have,time-and-budget,2 Focused pilot,Workbook,Built,
TB-08,Time Tracking & Budget,Forecast to period end,Projected consumption at period end based on current run rate.,Must Have,time-and-budget,3 Operational replacement,Workbook,Built,
TB-09,Time Tracking & Budget,Threshold alerts,Configurable percentage thresholds (e.g. 50/75/90/100%) alerting internal owner and optionally the client contact.,Must Have,time-and-budget,3 Operational replacement,Workbook,Built,
TB-10,Time Tracking & Budget,Per-ticket hours breakdown,"Hours by person, role, date and activity type for any single ticket. Exportable to Excel/CSV.",Must Have,time-and-budget,2 Focused pilot,Workbook,Built,
TB-11,Time Tracking & Budget,Adjustment and write-off workflow,Original entry preserved; adjustment recorded as a separate linked record.,Must Have,time-and-budget,3 Operational replacement,Workbook,Built,
TB-12,Time Tracking & Budget,Non-ticket time capture,"Per-client buckets for governance, QBR prep, account management and escalation handling. Without this, utilisation reads artificially low and budget burn reads artificially favourable.",Must Have,time-and-budget,4 Later releases,Workbook,Built,
TB-13,Time Tracking & Budget,After-hours and weekend flagging,"Automatic flagging based on the client business calendar, with premium rate or comp-time handling. Needed across the cutover weekend programme.",Must Have,time-and-budget,3 Operational replacement,Workbook,Built,
TB-14,Time Tracking & Budget,Billing export,"Export in the format THG finance consumes, with a locked/approved period concept so exported data cannot be silently altered.",Must Have,time-and-budget,3 Operational replacement,Workbook,Built,
TB-15,Time Tracking & Budget,Multi-currency support,Rate cards and reporting in local currency with FX conversion for consolidated views.,Nice to Have,time-and-budget,4 Later releases,Workbook,Partial,Currency is carried on rate cards and amounts; no FX conversion for consolidated views
TB-16,Time Tracking & Budget,Profitability view per account,"Revenue vs delivery cost using cost rates, at account and engagement level.",Nice to Have,time-and-budget,4 Later releases,Workbook,Built,
TB-17,Time Tracking & Budget,Commercial model as a configurable type,A new model type is added with its own consumption rules and the finance export still resolves it to hours and value with no interface change.,Unassessed,time-and-budget,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
CAP-01,Team Allocation & Capacity,Resource roster,"Role, FTE %, cost rate, bill rate, skills, certifications, timezone and working calendar per person.",Must Have,capacity-and-allocation,2 Focused pilot,Workbook,Built,
CAP-02,Team Allocation & Capacity,PTO and holiday calendar,"Per-country holiday calendars and individual PTO, feeding the capacity calculation.",Must Have,capacity-and-allocation,4 Later releases,Workbook,Built,
CAP-03,Team Allocation & Capacity,Available capacity calculation,Contracted hours minus PTO minus holidays minus a configurable admin overhead factor.,Must Have,capacity-and-allocation,3 Operational replacement,Workbook,Built,
CAP-04,Team Allocation & Capacity,Planned allocation per person per client per period,"Forward-looking allocation grid, editable by team lead.",Must Have,capacity-and-allocation,3 Operational replacement,Workbook,Built,
CAP-05,Team Allocation & Capacity,Planned vs actual variance reporting,Planned allocation compared against logged time. This is the report that actually changes behaviour.,Must Have,capacity-and-allocation,3 Operational replacement,Workbook,Built,
CAP-06,Team Allocation & Capacity,Overallocation detection,Warning raised at assignment time when a person exceeds available capacity in a period.,Must Have,capacity-and-allocation,3 Operational replacement,Workbook,Built,
CAP-07,Team Allocation & Capacity,Skills matrix with single-point-of-failure flagging,Identify where only one person can service a given client or technology.,Must Have,capacity-and-allocation,3 Operational replacement,Workbook,Built,
CAP-08,Team Allocation & Capacity,Forward demand from pipeline,"Pipeline and project demand included in capacity view, not only current ticket load.",Must Have,capacity-and-allocation,4 Later releases,Workbook,Built,
CAP-09,Team Allocation & Capacity,On-call / shift rota,"Rota management with coverage gap detection, linked to after-hours flagging.",Nice to Have,capacity-and-allocation,4 Later releases,Workbook,Partial,"A rota exists in the backend; no desk surface, no coverage-gap detection, and it drives no routing"
CAP-10,Team Allocation & Capacity,Scenario planning,Model the capacity impact of a prospective win before it is booked.,Nice to Have,capacity-and-allocation,4 Later releases,Workbook,Not started,
CAP-11,Team Allocation & Capacity,Account concentration detection with owned response,"Any account where one person holds more than the configured share of delivered hours in a rolling window raises an alert to the technical manager, escalating to the support director if unactioned within a configured period. The alert carries a state (acknowledged, mitigation planned, accepted as risk, resolved) with the reason recorded, and open alerts are visible on the portfolio and AH-05 views.",Unassessed,capacity-and-allocation,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
CAP-12,Team Allocation & Capacity,Absence-aware routing,"A person recorded as absent cannot be assigned a ticket, invited as a collaborator, or placed on the triage rota for that period without an explicit recorded override. Work already assigned at the point absence begins is surfaced for reassignment, and the ranked queue excludes them from scoring.",Unassessed,capacity-and-allocation,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
CP-01,Client Portal,SSO via SAML / OIDC,"Authenticate against the client IdP, with local account fallback for clients without federation.",Must Have,client-portal,3 Operational replacement,Workbook,Not started,
CP-02,Client Portal,Strict data scoping,"A client user sees only their own organisation's tickets and data. Enforced server-side, verified by automated test.",Must Have,client-portal,1 Foundations,Workbook,Built,
CP-03,Client Portal,Ticket submission with dynamic forms,Form fields vary by request type; required fields enforced at submission.,Must Have,client-portal,2 Focused pilot,Workbook,Built,
CP-04,Client Portal,Ticket status tracking and comment threads,"Client can view status, add comments and see public updates only.",Must Have,client-portal,2 Focused pilot,Workbook,Built,
CP-05,Client Portal,Attachment upload from portal,Same AV scanning and size limits as internal upload.,Must Have,client-portal,2 Focused pilot,Workbook,Built,
CP-06,Client Portal,Budget / consumption visibility toggle,Per-client switch controlling whether consumption data is exposed in the portal.,Must Have,client-portal,2 Focused pilot,Workbook,Built,
CP-07,Client Portal,CSAT survey on ticket close and every quarter end,"Triggered on closure, plus a periodic relationship survey. Results feed reporting.",Must Have,client-portal,3 Operational replacement,Workbook,Built,
CP-08,Client Portal,Knowledge base with per-client article visibility,Articles scoped to global or specific clients.,Must Have,knowledge-base,2 Focused pilot,Workbook,Built,
EM-01,Email Intake,Dedicated inbound address,With alias support so existing client-facing addresses can be retained.,Must Have,email-intake,1 Foundations,Workbook,Built,
EM-02,Email Intake,Thread matching on message headers,Match on Message-ID / References / In-Reply-To.,Must Have,email-intake,2 Focused pilot,Workbook,Built,
EM-03,Email Intake,Reply-to-update on existing tickets,A reply to a ticket notification appends a comment rather than creating a duplicate.,Must Have,email-intake,2 Focused pilot,Workbook,Built,
EM-04,Email Intake,Attachment and inline image extraction,Attachments stored on the ticket; inline images preserved in the comment body.,Must Have,email-intake,2 Focused pilot,Workbook,Built,
EM-05,Email Intake,Signature and quoted-reply stripping,"Strip signatures, disclaimers and quoted history so comments stay readable.",Must Have,email-intake,2 Focused pilot,Workbook,Built,
EM-06,Email Intake,Loop protection and auto-responder suppression,Detect and suppress mail loops and out-of-office auto-replies. A loop with a client mail system is a severity-1 event.,Must Have,email-intake,2 Focused pilot,Workbook,Built,
EM-07,Email Intake,Unknown-sender quarantine queue,Unrecognised senders go to a review queue rather than auto-creating tickets.,Must Have,email-intake,2 Focused pilot,Workbook,Built,
EM-08,Email Intake,Outbound email threading and branding,Outbound notifications correctly threaded and branded per client.,Must Have,email-intake,1 Foundations,Workbook,Built,
EM-09,Email Intake,Priority detection from email content,"Suggest priority based on message content, subject to human confirmation.",Nice to Have,ai-functionality,4 Later releases,Workbook,Partial,"The prioritise capability exists and is wired to tickets, not to email intake"
DR-01,Dashboard & Reporting,Near-real-time dashboard refresh,Defined refresh interval / push updates. Role-scoped and client-scoped.,Must Have,dashboard-and-reporting,2 Focused pilot,Workbook,Built,
DR-02,Dashboard & Reporting,Internal operational view,"Backlog by age, SLA attainment and at-risk, MTTR by type, reopen rate, volume trend, team utilisation, portfolio budget burn.",Must Have,dashboard-and-reporting,2 Focused pilot,Workbook,Built,
DR-03,Dashboard & Reporting,Client-facing view,"Their tickets, their SLA performance, their consumption, their CSAT. Nothing else.",Must Have,dashboard-and-reporting,2 Focused pilot,Workbook,Built,
DR-04,Dashboard & Reporting,Auto-generated weekly report pack (PPTX / PDF),Generated from live data on a schedule. Highest-ROI item in the build - it replaces the manual WSR cycle. We would present on a call from a dashboard that can be exported and sent via email for client review,Must Have,dashboard-and-reporting,2 Focused pilot,Workbook,Built,
DR-05,Dashboard & Reporting,Scheduled email delivery of report packs,Per-client schedule and distribution list.,Must Have,dashboard-and-reporting,3 Operational replacement,Workbook,Built,
DR-06,Dashboard & Reporting,Export to Excel / CSV on all views,Raw data export for ad-hoc analysis and finance reconciliation.,Must Have,dashboard-and-reporting,2 Focused pilot,Workbook,Built,
DR-07,Dashboard & Reporting,Historical trend retention,Point-in-time snapshots so trends survive record edits and reclassification.,Must Have,dashboard-and-reporting,3 Operational replacement,Workbook,Built,
DR-08,Dashboard & Reporting,Automated QBR deck generation,"Quarterly pack assembled from the period's data, following the standard QBR structure.",Nice to Have,dashboard-and-reporting,4 Later releases,Workbook,Built,
DR-09,Dashboard & Reporting,Customer health score,"Composite of CSAT, SLA attainment, budget position and engagement signals.",Nice to Have,dashboard-and-reporting,4 Later releases,Workbook,Built,
DR-10,Dashboard & Reporting,Custom report builder,Self-service report definition for power users without developer involvement.,Nice to Have,dashboard-and-reporting,4 Later releases,Workbook,Not started,
DR-12,Dashboard & Reporting,Client self-service measure,"The client sees how many issues they resolved without raising a ticket, and which articles they used.",Unassessed,dashboard-and-reporting,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
DR-13,Dashboard & Reporting,Collaboration and contribution measures,"Median time to first response, contributors per ticket, and share of tickets first touched by a principal engineer. The first-touch figure reports beside MC-05 over-routing, since over-routing is its mechanism.",Unassessed,dashboard-and-reporting,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
DR-14,Dashboard & Reporting,Renewal exposure view,"For every contract approaching expiry, one view shows contracted value, delivered value, forecast consumption at expiry, the resulting undelivered exposure, and the account's health score, sortable by exposure and filterable by expiry window. Exposure totals roll up to the portfolio.",Unassessed,dashboard-and-reporting,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
DR-15,Dashboard & Reporting,Portfolio scorecard surface,"The scorecard exists in the product, read quarterly, organised as four movements: is the ladder shifting downward, is the classifier getting braver safely, is knowledge compounding, is the conversation flipping from effort to value. Each line carries baseline, current, direction and target, and names the decision it informs. Ticket volume and MTTR cannot be added to it.",Unassessed,dashboard-and-reporting,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
DR-16,Dashboard & Reporting,Capture-rate gate on the scorecard,"Time-capture rate renders at the top of DR-15. Every value-derived line displays as provisional, and is labelled as such on screen and in export, until capture rate passes its configured threshold.",Unassessed,dashboard-and-reporting,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
DR-17,Dashboard & Reporting,Two pillar scorecards from one dataset,An operational scoping for the support director and a commercial scoping for the customer experience lead render from the same underlying data with no divergent figures; a number appearing on both is identical.,Unassessed,dashboard-and-reporting,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
DR-18,Dashboard & Reporting,Service desk team view,"Team resolution rate within paths 1 and 2, early-escalation pattern, path mix and certification completeness, on a surface the service desk lead owns. Per-person detail is limited to MC-07 cause tags and CL-04; the team rate does not decompose to an individual figure.",Unassessed,dashboard-and-reporting,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
SN-01,ServiceNow Integration,Bidirectional sync with configurable field mapping,"Per-client-instance mapping configuration, maintainable without a code change.",Must Have,servicenow-integration,3 Operational replacement,Workbook,Built,
SN-02,ServiceNow Integration,State machine translation,Translate between the internal state model and each client's. They will not match out of the box.,Must Have,servicenow-integration,3 Operational replacement,Workbook,Built,
SN-03,ServiceNow Integration,Loop prevention,Correlation IDs and update watermarking to prevent infinite update ping-pong.,Must Have,servicenow-integration,3 Operational replacement,Workbook,Built,
SN-04,ServiceNow Integration,Conflict resolution policy,Defined system of record per field. Last-write-wins is not acceptable as a blanket rule.,Must Have,servicenow-integration,3 Operational replacement,Workbook,Built,
SN-05,ServiceNow Integration,Comment and work note sync,Respecting the public vs internal distinction in both directions.,Must Have,servicenow-integration,3 Operational replacement,Workbook,Built,
SN-06,ServiceNow Integration,Attachment sync,Two-way attachment transfer with size limit handling.,Must Have,servicenow-integration,3 Operational replacement,Workbook,Built,
SN-07,ServiceNow Integration,Sync health monitoring and dead-letter queue,"Failed messages retained, alerting on failure, manual replay capability.",Must Have,servicenow-integration,3 Operational replacement,Workbook,Built,
SN-08,ServiceNow Integration,Multiple concurrent client instances,"Different schemas, different auth, different versions - running simultaneously.",Must Have,servicenow-integration,3 Operational replacement,Workbook,Built,
SN-09,ServiceNow Integration,One-way ingest mode,Read-only ingest as a lower-risk starting configuration and as a fallback if write-back is suspended.,Must Have,servicenow-integration,2 Focused pilot,Workbook,Built,
AI-01,AI Functionality,Auto-categorisation and priority suggestion,"Category, priority, account and CI tagging suggested on intake, human-confirmed.",Must Have,ai-functionality,2 Focused pilot,Workbook,Partial,The classify and prioritise builders exist behind the adapter; the harness is unconfigured and the suggestion has no confirmed surface at intake
AI-02,AI Functionality,Duplicate detection with merge suggestion,Flag likely duplicates at creation and propose a merge.,Must Have,ai-functionality,2 Focused pilot,Workbook,Partial,"The duplicate builder exists; unexercised while the harness is unconfigured, and no merge-proposal surface is reachable"
AI-03,AI Functionality,Long-thread summarisation,"Summarise ticket history for handover, shift change and escalation briefing.",Must Have,ai-functionality,2 Focused pilot,Workbook,Partial,The summarise builder exists; Ask Axel was removed from the record and the bar on 2026-09-08 and 2026-09-09 because the turn surface is held
AI-04,AI Functionality,Draft response generation,Generate a suggested reply; a human always reviews and sends.,Must Have,ai-functionality,3 Operational replacement,Workbook,Partial,The draft_reply builder exists; Draft with Axel was removed from the composer on 2026-09-08 because the surface behind it is held
AI-05,AI Functionality,Weekly report narrative generation,Convert dashboard figures into the written talk track for the WSR.,Must Have,ai-functionality,3 Operational replacement,Workbook,Not started,
AI-06,AI Functionality,Time entry assistance,Normalise work descriptions and prompt on unlogged time (e.g. 'you have 6 unlogged hours on Tuesday').,Must Have,ai-functionality,3 Operational replacement,Workbook,Not started,
AI-07,AI Functionality,Similar-ticket retrieval and KB suggestion,Surface comparable resolved tickets and relevant knowledge articles to the assignee.,Must Have,knowledge-base,2 Focused pilot,Workbook,Partial,"Retrieval and the solutions rail ship; ranking depends on embeddings the harness produces, and the harness is unconfigured"
AI-08,AI Functionality,Human-in-the-loop by default,No AI action takes effect without human confirmation unless explicitly opted in per client.,Must Have,ai-functionality,2 Focused pilot,Workbook,Built,
AI-09,AI Functionality,Confidence thresholds with human fallback,"Below threshold, the suggestion is withheld and the item routes to a human.",Must Have,ai-functionality,2 Focused pilot,Workbook,Built,
AI-10,AI Functionality,AI actions logged and attributable,"Every AI suggestion and action recorded in the audit trail, distinguishable from human actions.",Must Have,ai-functionality,1 Foundations,Workbook,Built,
AI-11,AI Functionality,Per-client AI disable switch,Some clients will contractually prohibit AI processing of their data. Must be enforceable at the data layer.,Must Have,ai-functionality,1 Foundations,Workbook,Built,
AI-12,AI Functionality,No training on client data; DPA and residency compliance,Contractual and technical guarantee before any client data reaches a model provider.,Must Have,ai-functionality,1 Foundations,Workbook,Built,
AI-13,AI Functionality,Feedback capture on AI suggestions,Accept/reject captured to measure accuracy and drive tuning.,Must Have,ai-functionality,2 Focused pilot,Workbook,Built,
AI-14,AI Functionality,Budget burn anomaly detection,Flag accounts tracking materially above or below expected run rate.,Must Have,ai-functionality,3 Operational replacement,Workbook,Not started,
AI-15,AI Functionality,Escalation risk and sentiment detection,"Early warning on threads trending negative, before a formal escalation occurs.",Nice to Have,ai-functionality,4 Later releases,Workbook,Not started,
AI-16,AI Functionality,Effort estimation from historical similar work,Suggested effort range on new tickets based on comparable closed work.,Nice to Have,ai-functionality,4 Later releases,Workbook,Not started,
AI-17,AI Functionality,Allocation suggestions,"Recommend assignee based on skills, current capacity and account familiarity.",Nice to Have,ai-functionality,4 Later releases,Workbook,Not started,
AI-18,AI Functionality,Auto-resolution of allowlisted request types,"Fully automated handling of simple, explicitly allowlisted requests. Requires strong guardrails and per-client opt-in.",Nice to Have,knowledge-base,4 Later releases,Workbook,Partial,The allowlist configuration exists; no end-to-end auto-resolution path
AI-19,AI Functionality,Agentic triage and routing without human review,Autonomous triage. Only after measured accuracy on the human-in-the-loop version.,Nice to Have,ai-functionality,4 Later releases,Workbook,Not started,
AI-20,AI Functionality,Natural language query over reporting data,Ask questions of the dataset in plain language and get a chart or table back.,Nice to Have,ai-functionality,4 Later releases,Workbook,Not started,
AI-21,AI Functionality,Confidence persisted and calibratable,"The confidence value is stored, and a calibration report compares stated confidence against realised outcome.",Unassessed,ai-functionality,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
AI-22,AI Functionality,Draft outcome capture,"Within the AI-13 stream, a draft records sent unchanged, light edit, heavy edit or discarded, with edit distance.",Unassessed,ai-functionality,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
AI-24,AI Functionality,Resolution note drafting,"On close, Axel drafts resolution notes from the thread, work notes and time entries, and proposes a resolution code. The draft satisfies the TB-02 completeness rule only once a human confirms it. Confirmation without edit is recorded distinctly from edited confirmation, and the unedited rate is reported.",Unassessed,ai-functionality,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
AI-25,AI Functionality,Shift handover summary,"At the end of a coverage window Axel drafts the TM-28 handover (open work, breach risk, client commitments, third-party waits) from ticket state and activity, editable before it is passed.",Unassessed,ai-functionality,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
DM-01,Data Migration,Historical import from ServiceNow CSM,"Open and closed tickets, comments, attachments and time entries. Without history the baseline is lost.",Must Have,data-migration,2 Focused pilot,Workbook,Built,
DM-02,Data Migration,Contract and budget history import,"Existing contracts, consumed hours and current balances, reconciled to finance records.",Must Have,data-migration,3 Operational replacement,Workbook,Built,
DM-03,Data Migration,Reconciliation report post-migration,"Record counts and hour totals reconciled source vs target, signed off before cutover.",Must Have,data-migration,3 Operational replacement,Workbook,Built,
DM-04,Data Migration,Parallel run period,Both systems operating concurrently for an agreed period before decommissioning the old one.,Must Have,data-migration,3 Operational replacement,Workbook,Not started,
DM-05,Data Migration,Knowledge corpus backfill,The existing knowledge corpus is imported and is governed by the AI-23 two-scope contribution rule; nothing crosses an account boundary without recorded opt-in.,Unassessed,data-migration,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
INT-01,Integrations,Identity provider integration (internal),Internal users authenticate via the THG IdP.,Must Have,accounts-and-administration,1 Foundations,Workbook,Built,
INT-02,Integrations,Finance / billing system export interface,Structured interface to the billing system rather than manual file handling.,Must Have,time-and-budget,3 Operational replacement,Workbook,Built,
INT-03,Integrations,Renewal and contract expiry alerting,"Alerts ahead of contract end dates, surfaced to the account owner.",Must Have,time-and-budget,3 Operational replacement,Workbook,Built,
INT-04,Integrations,Slack / Teams integration,"Ticket notifications, create-from-message, and time logging via command.",Nice to Have,integrations,4 Later releases,Workbook,Not started,
INT-05,Integrations,Calendar integration,Push change windows and scheduled work to Outlook calendars.,Nice to Have,integrations,4 Later releases,Workbook,Built,
XA-01,XMS additions,Security audit log,"Every authentication, authorisation, administration, data-movement, abuse and AI decision is recorded as an append-only security event with actor, principal kind, request and trace ids; searchable and exportable.",Must Have,audit-and-analytics,1 Foundations,XMS addition,Built,
XA-02,XMS additions,User analytics,"Screen views, named actions, searches, Axel decisions and API requests are captured as usage events (no ticket, email or article content), per role and per account, with portal capture governed by an account setting.",Must Have,audit-and-analytics,1 Foundations,XMS addition,Built,
XA-03,XMS additions,Audit and usage reporting,"Admin screens for audit search over all three streams, a security dashboard and a usage dashboard (active users, feature adoption, core-loop funnel, knowledge gaps, Axel acceptance, portal deflection), with exports and an analyst SQL surface.",Must Have,audit-and-analytics,2 Focused pilot,XMS addition,Built,
XA-04,XMS additions,Security assurance and audit readiness,"Every change passes the security definition of done (isolation, visibility, realm, evidence, egress) with the required tests and a completed checklist; controls are mapped to ISO 27001, SOC 2 and OWASP ASVS with evidence produced automatically; monthly access reviews, quarterly runbook rehearsals, annual penetration test.",Must Have,audit-and-analytics,1 Foundations,XMS addition,Built,
XA-05,XMS additions,Tamper evidence and retention,"Append-only event tables, nightly Parquet archive to an Object Lock bucket, chained daily digests with weekly verification, retention per stream and per account DPA, pseudonymisation for erasure requests.",Must Have,audit-and-analytics,3 Operational replacement,XMS addition,Built,
RL-01,Resolution Ladder & Routing,Path as a first-class ticket attribute,"Every ticket carries a classified path (0 client self-service, 1 front-desk resolved, 2 front-desk owned and engineer-validated, 3 engineer-owned) stamped at intake, and an actual path derived from the ownership and participant trail at close. Both are stored, neither overwrites the other, and both are reportable.",Unassessed,resolution-ladder,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
RL-02,Resolution Ladder & Routing,Historical profiling layer,"Closed historical records are profiled by client, request type, complexity, who resolved them, and whether resolution required credentialed access or genuine expertise. Queryable per client and per request type, and the classifier's prior from day one.",Unassessed,resolution-ladder,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
RL-03,Resolution Ladder & Routing,Path classification at intake,"Axel proposes a path from the profile and the request content, with confidence, subject to AI-08 and AI-09. The proposed path drives routing. A human can override, and the override is recorded against the proposal.",Unassessed,resolution-ladder,0 Unscoped (revision 3 intake),Functional RTM r3,Not started,
